job_title,company_name,location,salary,salary_type,job_description,job_tags,job_url
Forward Deployed Data Scientist,Intercom,"San Francisco, CA",211550.0,yearly,"...helping customers automate and scale their support operations. Embed with strategic customers to understand their support workflows, data, and business challenges — to identify and implement opportunities where AI can deliver measurable impact. Steer customers toward...","Work at office, Local area, Work from home, Flexible hours, Shift work, 3 days per week",https://jooble.org/away/-2260462144310025065?p=1&pos=11&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=107&relb=10&brelb=10&scr=14905.928805735168&bscr=14905.928805735168&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=5404723585021304149
Data Scientist,Asana,"San Francisco, CA",282000.0,yearly,"...The Data Science team at Asana is pivotal in fulfilling our mission by fostering a data-driven approach in shaping both our product... ...Provide hands‑on technical mentorship and guidance to a team of data scientists at varying levels, helping them navigate complex modeling...","Work at office, Local area, Work from home, Worldwide",https://jooble.org/away/4200121322071953594?p=1&pos=12&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=14862.618006777122&bscr=14862.618006777122&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=7324673762401604814
Data Scientist,"(EDO) Entertainment Data Oracle, Inc.","San Francisco, CA",135000.0,yearly,"...entertainment studios, and ad agencies. EDO’s investment-grade data align advertising investments to business results – with detailed... ...policy of 2 days a week in any EDO office. The Role Data Scientists at EDO drive EDO's modeling and analytical methodology to...","Work at office, Flexible hours, 2 days per week",https://jooble.org/away/-8760193197637521971?p=1&pos=13&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=14861.58737289233&bscr=14861.58737289233&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=5382201525853612695
Data Engineer,AI Cybersecurity Company,"San Jose, CA",,Not Listed,"...Francisco Bay Area , where we are assembling a world-class team to tackle some of the most pressing challenges in cybersecurity. As a Data Engineer , you will be working on components that are extremely mission-critical and form the heart of the ecosystem being built....","Work at office, Remote work",https://jooble.org/away/-8197921511993508081?p=1&pos=14&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=11&relb=10&brelb=10&scr=14704.784574593563&bscr=14704.784574593563&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=2653394265862862653
Senior Data Scientist,"Social Finance, Inc. (SoFi)","San Francisco, CA",184000.0,yearly,"...way. Join us to invest in yourself, your career, and the financial world. The Role: We are seeking a full stack Senior Data Scientist who will help shape business strategy and product development decisions through data-driven insights for SoFi’s financial services...","Work experience placement, Remote work, Flexible hours",https://jooble.org/away/-6060969852960810499?p=1&pos=15&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=107&relb=10&brelb=10&scr=14640.954354894984&bscr=14640.954354894984&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-7851604117458946009
AI Data Scientist,gamma.app,"San Francisco, CA",,Not Listed,"...seriously, but not ourselves. Our culture is warm, a little quirky, and fueled by curiosity. About the role You'll be our first Data Scientist, turning mountains of user data and AI outputs into insights that shape how millions of people create content. With 1 million+...","Work at office, Work from home",https://jooble.org/away/-3041173960926639562?p=1&pos=16&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=14613.379954554473&bscr=14613.379954554473&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-5225882983399791998
Data Scientist,First Quality,"Lewistown, PA",2500.0,monthly,"...environment focused on continuous learning, professional development, and our mission to Make Things Better®. We are seeking a Data Scientist for our First Quality facilities located in McElhattan, PA; Lewistown, PA; and Macon, GA. **Must have manufacturing...","Immediate start, Flexible hours",https://jooble.org/away/1996992624953383394?p=1&pos=17&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=11&relb=10&brelb=10&scr=14552.6510693082&bscr=14552.6510693082&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=5883322671927052870
Machine Learning Engineer / Data Scientist,Fusemachines,"New York, NY",,Not Listed,"...full potential with AI. Type: Full-time, Remote Role Overview We’re hiring a mid-to-senior Machine Learning Engineer / Data Scientist to build and deploy machine learning solutions that drive measurable business impact. You’ll work across the ML lifecycle—from...","Full time, H1b, Local area, Remote work",https://jooble.org/desc/2800719644876021310?ckey=data+scientist&rgn=55157&pos=18&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=539&relb=100&brelb=100&bscr=14525.3578932798&scr=14525.3578932798&searchTestGroup=1_2_1&iid=-4006119804731968486
Lead Data Scientist,Facet,Remote,170000.0,yearly,"...delivered with a fresh, human-plus-tech approach, that includes a CFP® professional–the highest certification possible. As a Lead Data Scientist at Facet, you will push the limits of our analytics and predictive capabilities through research, experimentation, and data...","Remote job, Full time, Temporary work, Flexible hours",https://jooble.org/desc/7548105889942189477?ckey=data+scientist&rgn=55157&pos=19&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=1403&relb=100&brelb=100&bscr=14439.037704271272&scr=14439.037704271272&searchTestGroup=1_2_1&iid=1874806744417679391
Data Entry Clerk Remote | Part-Time or Full-Time | No Experience Needed,Spot On Media,Remote,30.0,hourly,"...We’re looking for reliable and detail-oriented individuals to join our team as Remote Data Entry Clerks. This is a flexible opportunity ideal for someone who wants to work from home, stay organized, and handle simple administrative tasks in a supportive environment. ...","Remote job, Extra income, Full time, Part time, Work from home, Flexible hours",https://jooble.org/desc/9003126740454289747?ckey=data+scientist&rgn=55157&pos=20&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=275&relb=10&brelb=10&bscr=14408.909129197804&scr=14408.909129197804&searchTestGroup=1_2_1&iid=893450099009625929
Data Administrator - Research Scientist 2,Minnesota Department of Health,"Saint Paul, MN",32.4,hourly,"...Job Details Working Title: Data Administrator Job Class: Research Scientist 2 Agency: Health Department Job ID : 91935 Location : St. Paul Telework Eligible : Yes, Hybrid 50% Full/Part Time : Full-Time Regular/Temporary :...","Hourly pay, Full time, Temporary work, Part time, Live in, Work at office, Local area, Remote work, Relocation, Monday to Friday, Shift work, Day shift",https://jooble.org/away/5968186734884599128?p=1&pos=1&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=318&relb=10&brelb=10&scr=19999.83333466473&bscr=19999.83333466473&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=3264175112108596168
2026 Internship Program - Data Engineering Intern,Toll Brothers,"Fort Washington, PA",,Not Listed,"...creating an exceptional place to work that is inclusive to all. Toll Brothers , America's leading luxury home builder, seeks a Data Engineering Intern to join our team at our Corporate office located in Fort Washington, Pennsylvania. What are the primary responsibilities...","Internship, Work at office, Local area",https://jooble.org/desc/-8958610974848145229?ckey=data+scientist&rgn=55157&pos=2&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=107&relb=110&brelb=110&bscr=17265.962587168087&scr=17265.962587168087&searchTestGroup=1_2_1&iid=-5827635394422591255
Data Scientist,Recooty,"San Francisco, CA",80000.0,yearly,...About the Role: Aries is seeking a Data Scientist to join our data team. This remote role will leverage data analytics to enhance user experience and drive business decisions. What You’ll Do: Build and maintain predictive models and data pipelines. Analyze data...,Remote work,https://jooble.org/away/2850857609125217330?p=1&pos=3&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=83&relb=10&brelb=10&scr=15965.117193665721&bscr=15965.117193665721&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=8816415320282927542
Data Scientist,Insight Global,"Portland, OR",,Not Listed,"...Position: Data Scientist  Location: Montgomery Park – Portland, OR 1 Day On-site, 4 Days Remote Contract: 6 Month Contract-to-Hire Location: Portland (1 day a week) JOB DESCRIPTION Develop, deploy, and maintain scalable machine learning models and analytical...","Contract work, Remote work, 1 day per week",https://jooble.org/away/-7569745822452893743?p=1&pos=4&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=15909.94148646496&bscr=15909.94148646496&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=5035869419137896291
DATA SCIENTIST,Goflux,"San Francisco, CA",,Not Listed,"...At Flux, we rely on insightful data to power our systems and solutions. We’re seeking an experienced data scientist to deliver insights on a daily basis. The ideal candidate will have mathematical and statistical expertise, along with natural curiosity and a creative...","Permanent employment, Remote work",https://jooble.org/away/2061290611881579052?p=1&pos=5&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=50&relb=10&brelb=10&scr=15355.037936130302&bscr=15355.037936130302&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-901985119292831356
Data Scientist,Arcade,"San Francisco, CA",,Not Listed,"...expression, and on-demand manufacturing, and we’re building fast. Role Summary We are seeking an analytical, entrepreneurial Data Scientist to lead Arcade’s analytics, experimentation, and data science capabilities. This is a highly cross‑functional role that...",Local area,https://jooble.org/away/-6295827079008016186?p=1&pos=6&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=83&relb=10&brelb=10&scr=15214.496487543447&bscr=15214.496487543447&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=2916269637670893490
Data Scientist,Scoutbee,"San Francisco, CA",8.0,hourly,"...integrating our cutting-edge AI search algorithms and rich supplier data with Coupa’s $8T+ dataset, we’re solving complex discovery... been a more exciting time to join us. We’re hiring a Data Scientist (US) to drive activity and engagement across our buyer-supplier...","Remote work, Worldwide, Flexible hours",https://jooble.org/away/8321201863279436803?p=1&pos=7&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=50&relb=10&brelb=10&scr=15089.83734091144&bscr=15089.83734091144&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-1924070037561941543
Data Analyst,Reveleer,Remote,,Not Listed,"...Data Analyst Remote Opportunity Reveleer is a healthcare data and analytics company that uses Artificial Intelligence to give health plans across all business lines greater control over their Quality Improvement, Risk Adjustment, and Member Management programs...","Remote job, Full time, Local area",https://jooble.org/desc/1614091884387673076?ckey=data+scientist&rgn=55157&pos=8&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=443&relb=110&brelb=110&bscr=15017.688511015172&scr=15017.688511015172&searchTestGroup=1_2_1&iid=5589403469310838492
Data Analyst,Thesalonhype,Remote,,Not Listed,"...Position: Data Analyst Company Overview: At Thesalonhype, we are a fast-growing company in the beauty industry, providing innovative and high-quality products to our customers. Our team is made up of passionate individuals who are committed to delivering exceptional...","Remote job, Full time",https://jooble.org/desc/-3495474485127456681?ckey=data+scientist&rgn=55157&pos=9&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=203&relb=100&brelb=100&bscr=14967.509273852223&scr=14967.509273852223&searchTestGroup=1_2_1&iid=-5432077960370672875
Senior Data Scientist,"Plum, Inc.","San Francisco, CA",,Not Listed,"...work hard, have fun, and make a meaningful impact—both together and individually. Job Summary We are looking for a Senior Data Scientist to lead the development of scalable Generative AI pipelines that process raw data and generate context‑aware results to power...","Work experience placement, Remote work",https://jooble.org/away/1026675645834015644?p=1&pos=10&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=50&relb=10&brelb=10&scr=14934.284588279652&bscr=14934.284588279652&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-4676231564500116780
Forward Deployed Data Scientist,Intercom,"San Francisco, CA",197600.0,yearly,"helping customers automate and scale their support operations. Embed with strategic customers to understand their support workflows, data, and business challenges — to identify and implement opportunities where AI can deliver measurable impact. Steer customers toward","Work at office, Local area, Work from home, Flexible hours, Shift work, 3 days per week",https://jooble.org/away/-2260462144310025065?p=1&pos=11&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=107&relb=10&brelb=10&scr=14905.928805735168&bscr=14905.928805735168&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=5404723585021304149
Data Scientist,Asana,"San Francisco, CA",248000.0,yearly,"The Data Science team at Asana is pivotal in fulfilling our mission by fostering a data-driven approach in shaping both our product... Provide hands‑on technical mentorship and guidance to a team of data scientists at varying levels, helping them navigate complex modeling","Work at office, Local area, Work from home, Worldwide",https://jooble.org/away/4200121322071953594?p=1&pos=12&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=14862.618006777122&bscr=14862.618006777122&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=7324673762401604814
Data Scientist,"(EDO) Entertainment Data Oracle, Inc.","San Francisco, CA",120000.0,yearly,"entertainment studios, and ad agencies. EDO’s investment-grade data align advertising investments to business results – with detailed... policy of 2 days a week in any EDO office. The Role Data Scientists at EDO drive EDO's modeling and analytical methodology to","Work at office, Flexible hours, 2 days per week",https://jooble.org/away/-8760193197637521971?p=1&pos=13&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=14861.58737289233&bscr=14861.58737289233&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=5382201525853612695
Data Engineer,AI Cybersecurity Company,"San Jose, CA",,Not Listed,"Francisco Bay Area , where we are assembling a world-class team to tackle some of the most pressing challenges in cybersecurity. As a Data Engineer , you will be working on components that are extremely mission-critical and form the heart of the ecosystem being built.","Work at office, Remote work",https://jooble.org/away/-8197921511993508081?p=1&pos=14&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=11&relb=10&brelb=10&scr=14704.784574593563&bscr=14704.784574593563&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=2653394265862862653
Senior Data Scientist,"Social Finance, Inc. (SoFi)","San Francisco, CA",128000.0,yearly,"way. Join us to invest in yourself, your career, and the financial world. The Role: We are seeking a full stack Senior Data Scientist who will help shape business strategy and product development decisions through data-driven insights for SoFi’s financial services","Work experience placement, Remote work, Flexible hours",https://jooble.org/away/-6060969852960810499?p=1&pos=15&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=107&relb=10&brelb=10&scr=14640.954354894984&bscr=14640.954354894984&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-7851604117458946009
AI Data Scientist,gamma.app,"San Francisco, CA",,Not Listed,"seriously, but not ourselves. Our culture is warm, a little quirky, and fueled by curiosity. About the role You'll be our first Data Scientist, turning mountains of user data and AI outputs into insights that shape how millions of people create content.","Work at office, Work from home",https://jooble.org/away/-3041173960926639562?p=1&pos=16&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=14613.379954554473&bscr=14613.379954554473&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-5225882983399791998
Data Scientist,First Quality,"Lewistown, PA",2500.0,monthly,"environment focused on continuous learning, professional development, and our mission to Make Things Better®. We are seeking a Data Scientist for our First Quality facilities located in McElhattan, PA; Lewistown, PA; and Macon, GA. **Must have manufacturing","Immediate start, Flexible hours",https://jooble.org/away/1996992624953383394?p=1&pos=17&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=11&relb=10&brelb=10&scr=14552.6510693082&bscr=14552.6510693082&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=5883322671927052870
Machine Learning Engineer / Data Scientist,Fusemachines,"New York, NY",,Not Listed,"full potential with AI. Type: Full-time, Remote Role Overview We’re hiring a mid-to-senior Machine Learning Engineer / Data Scientist to build and deploy machine learning solutions that drive measurable business impact. You’ll work across the ML lifecycle—from","Full time, H1b, Local area, Remote work",https://jooble.org/desc/2800719644876021310?ckey=data+scientist&rgn=55157&pos=18&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=539&relb=100&brelb=100&bscr=14525.3578932798&scr=14525.3578932798&searchTestGroup=1_2_1&iid=-4006119804731968486
Lead Data Scientist,Facet,Remote,170000.0,yearly,"delivered with a fresh, human-plus-tech approach, that includes a CFP® professional–the highest certification possible. As a Lead Data Scientist at Facet, you will push the limits of our analytics and predictive capabilities through research, experimentation, and data","Remote job, Full time, Temporary work, Flexible hours",https://jooble.org/desc/7548105889942189477?ckey=data+scientist&rgn=55157&pos=19&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=1403&relb=100&brelb=100&bscr=14439.037704271272&scr=14439.037704271272&searchTestGroup=1_2_1&iid=1874806744417679391
Data Entry Clerk Remote | Part-Time or Full-Time | No Experience Needed,Spot On Media,Remote,30.0,hourly,"We’re looking for reliable and detail-oriented individuals to join our team as Remote Data Entry Clerks. This is a flexible opportunity ideal for someone who wants to work from home, stay organized, and handle simple administrative tasks in a supportive environment.","Remote job, Extra income, Full time, Part time, Work from home, Flexible hours",https://jooble.org/desc/9003126740454289747?ckey=data+scientist&rgn=55157&pos=20&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=275&relb=10&brelb=10&bscr=14408.909129197804&scr=14408.909129197804&searchTestGroup=1_2_1&iid=893450099009625929
Sr. Data Engineer - Remote,Oregon Staffing,"Salem, OR",,Not Listed,"Senior Data Engineer Sharecare is a digital healthcare company that delivers software and tech-enabled services to stakeholders... CD pipelines, and production deployments Partner with data scientists and analysts to support AI/ML initiatives Specific Skills/ Attributes",Remote job,https://jooble.org/away/3545130203894801321?p=1&pos=21&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=59&relb=100&brelb=100&scr=14158.90244997123&bscr=14158.90244997123&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=5765450786388271339
"Data Scientist, Financial Engineering",OpenAI,"San Francisco, CA",,Not Listed,"Finance, and Go-to-Market to make paying for OpenAI products seamless, reliable, and efficient worldwide. About the Role As a Data Scientist on FinEng, you’ll own the analytics and experimentation that improve our checkout and payments , subscriptions , and","Work at office, Local area, Worldwide, Relocation package",https://jooble.org/away/-4035441038762790121?p=1&pos=22&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=107&relb=10&brelb=10&scr=14147.667432430246&bscr=14147.667432430246&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=3311695359722256597
"Senior Data Scientist, Decisions",Truebill,"San Francisco, CA",180000.0,yearly,and a suite of valuable services that save them time and money – ultimately giving them a leg up on their financial journey. Data Scientists at Rocket Money advance our mission by building internal and external products that strengthen customer relationships across,"Temporary work, Work at office, Remote work",https://jooble.org/away/1251019849109894827?p=1&pos=23&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=14141.845437483733&bscr=14141.845437483733&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=739763648373175633
Senior Data Scientist (GenAI focus) - Technology,Truelogic Software LLC,"New York, NY",,Not Listed,"sports, and gaming, bringing clarity and strategic direction to complex business challenges. Job Summary We’re hiring a Data Scientist / Senior Data Scientist to join a Marketing & Data Science team focused on advancing next-generation insights across",Remote work,https://jooble.org/away/-7847638065298088211?p=1&pos=24&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=14091.70572790547&bscr=14091.70572790547&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-6986077798611368969
Data Scientist III,SGS Consulting,Remote,,Not Listed,"working in a technically complex and ambiguous environment Previous ads experience preferred, but not essential Experience with data querying languages (e.g., SQL) Experience with scripting languages (e.g., Python) Experience with statistical/mathematical",Remote job,https://jooble.org/desc/-2529780193504080204?ckey=data+scientist&rgn=55157&pos=25&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=1409&relb=100&brelb=100&bscr=14049.192246066868&scr=14049.192246066868&searchTestGroup=1_2_1&iid=-7488783924163351396
"Senior Data Scientist, Real-Time Bidding",Trellisconnect,"New York, NY",,Not Listed,Trellis is hiring a Senior Data Scientist to drive exploratory analysis and model development for data‑scarce and emerging problems in our Real‑Time Bidding (RTB) and pricing...,"Remote work, Home office, Flexible hours",https://jooble.org/away/4679623759373721128?p=1&amp;pos=26&amp;rgn=55157&amp;pageType=20&amp;ckey=data+scientist&amp;sid=-3853338646247838305&amp;jobAge=11&amp;relb=10&amp;brelb=10&amp;scr=13977.23887289536&amp;bscr=13977.23887289536&amp;elckey=3431648277246123730&amp;searchTestGroup=1_2_1&amp;iid=-8233933803347358024
Commissioning Engineer (Data Centers) (New York City),Jobot,"New York, NY",175000.0,yearly,"calls, text messages, or emails from Jobot, and/or its agents and contracted partners. Frequency varies for text messages. Message and data rates may apply. Carriers are not liable for delayed or undelivered messages. You can reply STOP to cancel and HELP for help.","Part time, Local area, Immediate start, Remote work",https://jooble.org/away/-3737909257861227672?p=1&amp;pos=27&amp;rgn=55157&amp;pageType=20&amp;ckey=data+scientist&amp;sid=-3853338646247838305&amp;jobAge=8&amp;relb=10&amp;brelb=10&amp;scr=13906.666545196156&amp;bscr=13906.666545196156&amp;elckey=3431648277246123730&amp;searchTestGroup=1_2_1&amp;iid=-6698695882884079368
Data Entry Clerk,Stratejic Relationships,Remote,,Not Listed,Stratejic Relationships is looking for a detail-oriented Remote Data Entry Clerk to join our team. This position offers the flexibility of working remotely while ensuring the accuracy and efficiency of data management processes critical to our success. Key Responsibilities...,"Remote job, Full time, Work experience placement, Work at office, Flexible hours",https://jooble.org/desc/-5662143048975273605?ckey=data+scientist&amp;rgn=55157&amp;pos=28&amp;groupId=1077&amp;elckey=3431648277246123730&amp;pageType=20&amp;p=1&amp;sid=-3853338646247838305&amp;jobAge=443&amp;relb=110&amp;brelb=110&amp;bscr=13893.831498539364&amp;scr=13893.831498539364&amp;searchTestGroup=1_2_1&amp;iid=2384639519623439169
