job_title,company_name,location,salary,salary_type,Job Description,Job Tags,job_url
Data Analyst,Zearn,Remote,75000.0,yearly,"solvers, and own work that will drive us to achieve impact at scale, we are looking for you. The Data Analyst at Zearn will create analyses and reports that empower teams across the organization to make better, faster, and more informed","Remote job, Full time, Temporary work, Flexible hours",https://jooble.org/desc/-2793415339610557791?ckey=data+scientist&rgn=55157&pos=11&groupId=1077&elckey=8897657513733978897&pageType=20&p=1&sid=-8346189895328300746&jobAge=638&relb=100&brelb=100&bscr=15129.083602619748&scr=15129.083602619748&searchTestGroup=1_2_1&iid=-6338525736755014704
Senior Data Center Mechanical Systems Engineer (AUSTIN),"JABIL CIRCUIT, INC","Austin, TX",132400.0,yearly,"expertise in metal structures, frame design, pipes and fabrication to support the development of power and cooling infrastructure for data centers. This role is critical in designing robust mechanical systems that house and support electrical and thermal management","Contract work, Part time, Remote work",https://jooble.org/away/-4841511663944144066?p=1&pos=12&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=59&relb=10&brelb=10&scr=14981.205348459704&bscr=14981.205348459704&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-3916074438534999139
Data Scientist,Asana,"San Francisco, CA",248000.0,yearly,"The Data Science team at Asana is pivotal in fulfilling our mission by fostering a data-driven approach in shaping both our product. Provide hands‑on technical mentorship and guidance to a team of data scientists at varying levels, helping them navigate complex modeling","Work at office, Local area, Work from home, Worldwide",https://jooble.org/away/1773541090188656351?p=1&pos=13&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=30&relb=10&brelb=10&scr=14917.774812766753&bscr=14917.774812766753&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=1696363060591016266
Data Entry Clerk Remote | Part-Time or Full-Time | No Experience Needed,Spot On Media,Remote,30.0,hourly,"We’re looking for reliable and detail-oriented individuals to join our team as Remote Data Entry Clerks. This is a flexible opportunity ideal for someone who wants to work from home, stay organized, and handle simple administrative tasks in a supportive environment.","Remote job, Extra income, Full time, Part time, Work from home, Flexible hours",https://jooble.org/desc/9003126740454289747?ckey=data+scientist&rgn=55157&pos=14&groupId=1077&elckey=8897657513733978897&pageType=20&p=1&sid=-8346189895328300746&jobAge=254&relb=10&brelb=10&bscr=14855.091706968553&scr=14855.091706968553&searchTestGroup=1_2_1&iid=5206068662775765094
Data Center Cooling Solutions Engineer (AUSTIN),"JABIL CIRCUIT, INC","Austin, TX",132400.0,yearly,"thermal components and solid comprehension of thermal design and analysis to lead and oversee the mechanical systems essential for Data Center Infrastructure functionality. This role will involve developing specifications, selecting key components, component placement","Part time, Remote work",https://jooble.org/away/-486591859938489982?p=1&pos=15&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=59&relb=10&brelb=10&scr=14762.278977695809&bscr=14762.278977695809&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-6300514663771602039
"Senior Data Scientist, Decisions",Truebill,"San Francisco, CA",180000.0,yearly,and a suite of valuable services that save them time and money – ultimately giving them a leg up on their financial journey. Data Scientists at Rocket Money advance our mission by building internal and external products that strengthen customer relationships across,"Temporary work, Work at office, Remote work",https://jooble.org/away/1251019849109894827?p=1&pos=16&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=14&relb=10&brelb=10&scr=14664.007644374135&bscr=14664.007644374135&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-5010651669534287666
Data Analyst,Thesalonhype,Remote,,Not Listed,"Position: Data Analyst Company Overview: At Thesalonhype, we are a fast-growing company in the beauty industry, providing innovative and high-quality products to our customers. Our team is made up of passionate individuals who are committed to delivering exceptional","Remote job, Full time",https://jooble.org/desc/-3495474485127456681?ckey=data+scientist&rgn=55157&pos=17&groupId=1077&elckey=8897657513733978897&pageType=20&p=1&sid=-8346189895328300746&jobAge=182&relb=100&brelb=100&bscr=14629.552760136417&scr=14629.552760136417&searchTestGroup=1_2_1&iid=5253482085499298866
Senior Data Scientist,"Plum, Inc.","San Francisco, CA",,Not Listed,"work hard, have fun, and make a meaningful impact—both together and individually. Job Summary We are looking for a Senior Data Scientist to lead the development of scalable Generative AI pipelines that process raw data and generate context‑aware results to power","Work experience placement, Remote work",https://jooble.org/away/1026675645834015644?p=1&pos=18&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=30&relb=10&brelb=10&scr=14621.83247564865&bscr=14621.83247564865&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=7179954092436802391
Senior Data Scientist,"Social Finance, Inc. (SoFi)","San Francisco, CA",128000.0,yearly,"way. Join us to invest in yourself, your career, and the financial world. The Role: We are seeking a full stack Senior Data Scientist who will help shape business strategy and product development decisions through data-driven insights for SoFi’s financial services","Work experience placement, Remote work, Flexible hours",https://jooble.org/away/-6060969852960810499?p=1&pos=19&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=86&relb=10&brelb=10&scr=14606.991784321988&bscr=14606.991784321988&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-8732335920170585788
Data Entry Clerk,Stratejic Relationships,Remote,,Not Listed,Stratejic Relationships is looking for a detail-oriented Remote Data Entry Clerk to join our team. This position offers the flexibility of working remotely while ensuring the accuracy and efficiency of data management processes critical to our success.,"Remote job, Full time, Work experience placement, Work at office, Flexible hours",https://jooble.org/desc/-5662143048975273605?ckey=data+scientist&rgn=55157&pos=20&groupId=1077&elckey=8897657513733978897&pageType=20&p=1&sid=-8346189895328300746&jobAge=422&relb=110&brelb=110&bscr=14479.066908099969&scr=14479.066908099969&searchTestGroup=1_2_1&iid=-5171334806342165410
