job_title,company_name,location,salary,salary_type,job_description,job_tags,job_url
MCH Data Scientist Student Worker - Student Worker Para Professional Senior,Minnesota Department of Health,"Saint Paul, MN",19.85,hourly,Job Details Working Title: MCH Data Scientist Student Worker - Student Worker Para Professional Senior Job Class: Student Worker Para Professional Senior Agency: Health Department Job ID : 92284 Location : St. Paul Telework Eligible,"Hourly pay, Full time, Temporary work, Part time, Summer work, Live in, Work at office, Local area, Remote work, Relocation, Monday to Friday, Flexible hours, Shift work, Day shift",https://jooble.org/away/-5093056149542795597?p=1&pos=2&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=4&relb=10&brelb=10&scr=18857.377781807172&bscr=18857.377781807172&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-5045653323709384899
Data Engineer,Loxo,"Austin, TX",,Not Listed,"As an early hire to our engineering team, you will be responsible for managing Loxo’s data integration function. You will be primarily responsible for migrating new clients’ legacy data from their previous recruitment platform to Loxo","Remote work, Flexible hours",https://jooble.org/away/-4137854180822498642?p=1&pos=3&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=419&relb=110&brelb=110&scr=18052.302457975766&bscr=18052.302457975766&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-5505597202707249066
2026 Internship Program - Data Engineering Intern,Toll Brothers,"Fort Washington, PA",,Not Listed,"Toll Brothers , America's leading luxury home builder, seeks a Data Engineering Intern to join our team at our Corporate office located in Fort Washington, Pennsylvania. What are the primary responsibilities","Internship, Work at office, Local area",https://jooble.org/desc/-8958610974848145229?ckey=data+scientist&rgn=55157&pos=4&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=11&relb=110&brelb=110&bscr=17822.602743328116&scr=17822.602743328116&searchTestGroup=1_2_1&iid=-3269965020246891203
Data Scientist / ML Engineer,INFOTRON,"Cape Coral, FL",,Not Listed,"Imagine writing code that doesnt just workit makes a global impact. We're looking for a Data Scientist / Developer whose work will directly contribute to health, sustainability, and wellness innovations. From building robust data",Remote work,https://jooble.org/away/-4478983366068565842?p=1&pos=5&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=251&relb=110&brelb=110&scr=17485.47982448504&bscr=17485.47982448504&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=3085532936156465750
Data & AI Engineer (Remote),FortifyIQ,"Salem, MA",,Not Listed,"We're seeking a Data & AI Engineer to develop intelligent data pipelines and analytics solutions that power smarter decisions across silicon design, verification, and manufacturing. You'll transform engineering data into actionable",Remote job,https://jooble.org/away/6138173150673953044?p=1&pos=6&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=179&relb=110&brelb=110&scr=17229.8404720866&bscr=17229.8404720866&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-9065532756882403784
Data Scientist,"Buyers Edge Platform, LLC","Waltham, MA",,Not Listed,"We are seeking a Data Scientist – Business Intelligence to join our growing BI organization. In this role, you will help power predictive intelligence across the company through the development of statistical and machine learning models","Local area, Remote work, Flexible hours",https://jooble.org/away/5763598451851120629?p=1&pos=7&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=107&relb=110&brelb=110&scr=17001.980392877103&bscr=17001.980392877103&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-5811050829751290549
Data Entry Clerk Remote | Part-Time or Full-Time | No Experience Needed,Spot On Media,Remote,30.0,hourly,"We’re looking for reliable and detail-oriented individuals to join our team as Remote Data Entry Clerks. This is a flexible opportunity ideal for someone who wants to work from home, stay organized, and handle simple administrative tasks in a supportive environment.","Remote job, Extra income, Full time, Part time, Work from home, Flexible hours",https://jooble.org/desc/9003126740454289747?ckey=data+scientist&rgn=55157&pos=8&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=299&relb=10&brelb=10&bscr=16798.764249455075&scr=16798.764249455075&searchTestGroup=1_2_1&iid=-606113159444996771
Data Scientist,Recooty,"San Francisco, CA",80000.0,yearly,About the Role: Aries is seeking a Data Scientist to join our data team. This remote role will leverage data analytics to enhance user experience and drive business decisions. What You’ll Do: Build and maintain predictive models and data pipelines.,Remote work,https://jooble.org/away/2850857609125217330?p=1&pos=9&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=107&relb=10&brelb=10&scr=16757.78775867973&bscr=16757.78775867973&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=2091987448315095306
Data Analyst,Zearn,Remote,75000.0,yearly,"The Data Analyst at Zearn will create analyses and reports that empower teams across the organization to make better, faster, and more informed","Remote job, Full time, Temporary work, Flexible hours",https://jooble.org/desc/-2793415339610557791?ckey=data+scientist&rgn=55157&pos=10&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=683&relb=100&brelb=100&bscr=16589.333921779893&scr=16589.333921779893&searchTestGroup=1_2_1&iid=-9177558534277600505
Product Data Scientist,Klaviyo,"Boston, MA",88000.0,yearly,"We're looking for someone who thrives at the intersection of data and product — someone who brings solid analytical skills, experience... science with mentorship and collaboration from senior data scientists Join a company where data science is a core part of the product...","Work at office, Remote work, 3 days per week",https://jooble.org/away/8595826132098012457?p=1&pos=11&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=587&relb=110&brelb=110&scr=16578.108346904&bscr=16578.108346904&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=4418694733504131567
Senior Data Scientist,OneStudyTeam,"Boston, MA",100.0,hourly,"mission to advance clinical research and improve patient care. One mission. One team. That's OneStudyTeam. As a Senior Data Scientist , you will play a pivotal role in advancing Reify Health's data-driven solutions for clinical trials. In this position, you will...","Remote work, Visa sponsorship, Work visa",https://jooble.org/away/285461357667260221?p=1&pos=12&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=227&relb=110&brelb=110&scr=16345.235578860975&bscr=16345.235578860975&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=801755300051695091
AI Data Engineer,Career Renew,"Austin, TX",130000.0,yearly,Job Description Job Description Career Renew is recruiting for one of its clients an AI Data Engineer - this is a fully remote role for candidates based in US/Europe/Israel as long as they can overlap at least 5 hours with the EST timezone. Salary range: 130-150K...,Remote work,https://jooble.org/away/-7690779445103725808?p=1&pos=13&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=419&relb=110&brelb=110&scr=16301.894683564513&bscr=16301.894683564513&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-2049076952261432572
"Engineering Manager, ML/Data Engineering - Content Trust",Scribd,"Houston, TX",163000.0,yearly,"and solutions, and positively influence the broader T eam through collaboration and attitude. About The Team And Role The ML Data Engineering team is the backbone of Scribds commitment to a safe and trustworthy library. We build high?throughput, ML?driven data...","Temporary work, Local area, Home office, Flexible hours",https://jooble.org/away/5377221980682639640?p=1&pos=14&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=91&relb=10&brelb=10&scr=16273.855897435073&bscr=16273.855897435073&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=2380326842129350508
Data Scientist,Insight Global,"Portland, OR",,Not Listed,"Position: Data Scientist Location: Montgomery Park – Portland, OR 1 Day On-site, 4 Days Remote Contract: 6 Month Contract-to-Hire Location: Portland (1 day a week) JOB DESCRIPTION Develop, deploy, and maintain scalable machine learning models and analytical...","Contract work, Remote work, 1 day per week",https://jooble.org/away/-7569745822452893743?p=1&pos=15&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=59&relb=10&brelb=10&scr=16251.65623127137&bscr=16251.65623127137&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=6530843028323474039
Data Engineer,Barbaricum,"Omaha, NE",,Not Listed,"innovation. Our teams are at the frontier of the Nation's most complex and rewarding challenges. Join our team. Barbaricum is seeking a Data Engineer to provide support an emerging capability for the USSTRATCOM J2 at Offutt Air Force Base near Omaha, Nebraska. This...","For contractors, Remote work",https://jooble.org/away/5002154030247782164?p=1&pos=16&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=107&relb=110&brelb=110&scr=16203.506655479994&bscr=16203.506655479994&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-3201762813358561224
Senior Data Scientist,"Definitive Healthcare, US","Framingham, MA",112000.0,yearly,"Definitive Healthcare (NASDAQ: DH), we're passionate about turning data, analytics, and expertise into meaningful intelligence that... education, and inclusion. We are looking for a Senior Data Scientist to help shape the next generation of analytics that power our...","Work at office, Remote work, Flexible hours",https://jooble.org/away/-8308042485641527604?p=1&pos=17&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=203&relb=110&brelb=110&scr=16196.881742295214&bscr=16196.881742295214&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-3117514698201253232
Data Entry Clerk,Stratejic Relationships,Remote,,Not Listed,Stratejic Relationships is looking for a detail-oriented Remote Data Entry Clerk to join our team. This position offers the flexibility of working remotely while ensuring the accuracy and efficiency of data management processes critical to our success. Key Responsibilities...,"Remote job, Full time, Work experience placement, Work at office, Flexible hours",https://jooble.org/desc/-5662143048975273605?ckey=data+scientist&rgn=55157&pos=18&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=467&relb=110&brelb=110&bscr=16184.149208630484&scr=16184.149208630484&searchTestGroup=1_2_1&iid=4450119796305271141
Data Entry Typist,"Clearpath Counseling and Consulting, LLC",Remote,,Not Listed,"The Data Entry Typist is responsible for accurately entering, updating, and maintaining information in digital databases and systems. This role requires strong attention to detail, fast and accurate typing skills, and the ability to manage confidential information with...","Remote job, Full time, Work at office",https://jooble.org/desc/7775664064050020339?ckey=data+scientist&rgn=55157&pos=19&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=467&relb=110&brelb=110&bscr=16135.915708026825&scr=16135.915708026825&searchTestGroup=1_2_1&iid=2916794582198833021
Data Analyst,Reveleer,Remote,,Not Listed,"Data Analyst Remote Opportunity Reveleer is a healthcare data and analytics company that uses Artificial Intelligence to give health plans across all business lines greater control over their Quality Improvement, Risk Adjustment, and Member Management programs...","Remote job, Full time, Local area",https://jooble.org/desc/1614091884387673076?ckey=data+scientist&rgn=55157&pos=20&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=467&relb=110&brelb=110&bscr=16105.178781340475&scr=16105.178781340475&searchTestGroup=1_2_1&iid=321445283997415320
DATA SCIENTIST,Goflux,"San Francisco, CA",,Not Listed,"At Flux, we rely on insightful data to power our systems and solutions. We’re seeking an experienced data scientist to deliver insights on a daily basis. The ideal candidate will have mathematical and statistical expertise, along with natural curiosity and a creative...","Permanent employment, Remote work",https://jooble.org/away/2061290611881579052?p=1&pos=21&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=74&relb=10&brelb=10&scr=15989.494189195117&bscr=15989.494189195117&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=4094807707954171504
AI Data Scientist,gamma.app,"San Francisco, CA",,Not Listed,"seriously, but not ourselves. Our culture is warm, a little quirky, and fueled by curiosity. About the role You'll be our first Data Scientist, turning mountains of user data and AI outputs into insights that shape how millions of people create content. With 1 million+...","Work at office, Work from home",https://jooble.org/away/-3041173960926639562?p=1&pos=22&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=59&relb=10&brelb=10&scr=15982.864152120792&bscr=15982.864152120792&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-8465247250613912514
Data Scientist,SOSi,"Huntsville, AL",,Not Listed,"leadership, and trusted results to enable national security missions worldwide. Job Description Overview SOSi is seeking a Data Scientist to join our analytics team working on an innovative MLOps workload leveraging cutting-edge technologies and supporting a...","Casual work, Work at office, Remote work, Worldwide",https://jooble.org/away/-6176466910126806867?p=1&pos=23&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=155&relb=110&brelb=110&scr=15918.314598419383&bscr=15918.314598419383&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=1893632960339863715
Data Scientist (MMM),FocusKPI Inc.,"Boston, MA",90000.0,yearly,"Job Description FocusKPI is seeking smart, curious, technically savvy, and experienced candidates to join our cutting-edge internal data science team. The data science team at FocusKPI builds models and machine learning algorithms that power all our clients' ad-tech/...","Full time, Work at office, Remote work",https://jooble.org/away/-1226307778962212200?p=1&pos=24&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=203&relb=110&brelb=110&scr=15883.85780725039&bscr=15883.85780725039&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-2541396388731166996
Entry level Data Analyst,Arc Document Solutions,Remote,,Not Listed,We are committed to delivering cutting-edge data analytics of our services to our clients. Our goal is to help businesses make decisions and achieve their objectives through the power of data. Job Description: We are seeking a highly motivated Entry Level...,"Remote job, Full time",https://jooble.org/desc/175235506880705652?ckey=data+scientist&rgn=55157&pos=25&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=491&relb=100&brelb=100&bscr=15858.985658174313&scr=15858.985658174313&searchTestGroup=1_2_1&iid=-2795776172849446376
Data Scientist,Pantherx Specialty LLC,"Pittsburgh, PA",,Not Listed,"...healthcare! Location: Pittsburgh, PA (Hybrid or Remote) Classification : Exempt Status: Full-Time Reports To: Data Scientist Purpose The Data Scientist is responsible for data modeling, model deployment, and model training, focusing on leveraging...","Full time, Temporary work, Part time, Work at office, Local area, Remote work, Flexible hours",https://jooble.org/away/8453068442371599138?p=1&pos=26&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=371&relb=110&brelb=110&scr=15761.230387776273&bscr=15761.230387776273&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-5186886064963925190
Data Scientist,"(EDO) Entertainment Data Oracle, Inc.","San Francisco, CA",120000.0,yearly,"...entertainment studios, and ad agencies. EDO’s investment-grade data align advertising investments to business results – with detailed... policy of 2 days a week in any EDO office. The Role Data Scientists at EDO drive EDO's modeling and analytical methodology to...","Work at office, Flexible hours, 2 days per week",https://jooble.org/away/-8760193197637521971?p=1&pos=27&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=59&relb=10&brelb=10&scr=15691.98884344218&bscr=15691.98884344218&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=2700164591708107587
Senior Data Scientist,"Plum, Inc.","San Francisco, CA",,Not Listed,"...work hard, have fun, and make a meaningful impact—both together and individually. Job Summary We are looking for a Senior Data Scientist to lead the development of scalable Generative AI pipelines that process raw data and generate context‑aware results to power...","Work experience placement, Remote work",https://jooble.org/away/1026675645834015644?p=1&pos=28&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=74&relb=10&brelb=10&scr=15658.023917860926&bscr=15658.023917860926&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=2122819902012407072
Data Scientist,Asana,"San Francisco, CA",248000.0,yearly,"...The Data Science team at Asana is pivotal in fulfilling our mission by fostering a data-driven approach in shaping both our product... Provide hands‑on technical mentorship and guidance to a team of data scientists at varying levels, helping them navigate complex modeling...","Work at office, Local area, Work from home, Worldwide",https://jooble.org/away/4200121322071953594?p=1&pos=29&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=59&relb=10&brelb=10&scr=15623.847971658553&bscr=15623.847971658553&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=528172066863021554
